title,href
"[단독] 크래프톤·한화, 피지컬 AI 합작사 설립",https://www.sedaily.com/article/20018791?ref=naver
"[단독] 쿠팡맨·배민라이더, AI 전환에 취약…“대규모 실업 가능성”",https://www.kmib.co.kr/article/view.asp?arcid=0029522886&code=61141111&cp=nv
"크래프톤·한화, 합작법인 만든다…방산 피지컬 AI 사업화",https://www.newsis.com/view/NISX20260313_0003546737
"노동행정도 AI로…노동부, 산재 예측 모델 첫 공개",https://www.news1.kr/economy/employment-labor/6100043
"크래프톤·한화에어로, 피지컬AI 합작사 추진",https://www.yna.co.kr/view/AKR20260313041300017?input=1195m
크래프톤이 게임AI 넘어 피지컬AI로 보폭 넓히는 이유,https://www.bloter.net/news/articleView.html?idxno=656580
"""SK하이닉스, AI 메모리 수요 급증 최대 수혜…목표가 170만원""-KB",https://www.hankyung.com/article/2026031380026
"NC AI, 중소·인디 게임 개발사 지원 생태계 구축",https://biz.chosun.com/it-science/ict/2026/03/13/V5HJPDVTEFB5LF34RNPCCE766Q/?utm_source=naver&utm_medium=original&utm_campaign=biz
"李대통령 ""국민주권 정부니까 가능…AI전환 신속 추진""",https://view.asiae.co.kr/article/2026031308185297037
"코난테크놀로지-네이버클라우드, '피지컬 AI'로 뭉쳤다…국방·제조 혁...",https://zdnet.co.kr/view/?no=20260313091839
