title,href,article
"과기정통·산업·중기부, 4320억 규모 AI전환 사업 통합 공고",https://n.news.naver.com/mnews/article/003/0013817590?sid=105,"3개 부처 올해 주요 AX 사업 통합 공고…주요 AX 사업 쉽게 확인19일 공고, 25일 공동설명회 개최…4월엔 지역 AX 사업 합동 공고



[서울=뉴시스] 과기정통부와 산업부, 중기부가 올해 주요 AX 사업을 통합 공고하고 기업 대상 설명회를 개최한다. (사진=과기정통부 제공) *재판매 및 DB 금지[서울=뉴시스]심지혜 기자 = 과학기술정보통신부, 산업통상자원부, 중소벤처기업부가 산업 인공지능(AI) 전문기업과 제조기업의 AI전환(AX) 사업 참여 환경 개선을 위해 공동 대응한다. 과기정통부와 산업부, 중기부는 올해 주요 AX 사업을 통합 공고하고 기업 대상 설명회를 개최한다고 12일 밝혔다. 이번 공고하는 사업은 4320억원 규모로 ▲AI 에이전트 ▲AI 응용제품 신속 상용화 지원 ▲산업AI 솔루션 실증·확산 ▲AI 통합 바우처 ▲AI 가상융합 ▲스마트공장 등 각 부처에서 추진하는 11개 사업이 포함된다. 우선 3개 부처는 올해부터 부처별로 장점을 살린 AI 에이전트 사업을 신규로 추진한다. 과기정통부는 공공성 및 국민 효능감이 높은 분야에 대한 에이전틱 AI 핵심기술을 확보한다. 산업부는 기업 수요를 반영하여 제조 현장에서 AI 에이전트의 도입 필요성이 높은 핵심 과업을 대상으로 AI 에이전트를 개발·실증한다. 중기부는 중소 제조특화 및 소비자 밀착 분야에 집중하며, 비정형 작업 대응력 강화를 위한 다중 AI 에이전트 기술개발을 지원한다. 이와 함께 AI와 관련한 국민 체감 성과를 빠르게 낼 수 있는 ‘AI 응용제품 신속 상용화 지원(AX-Sprint)’ 신규 사업을 3개 부처가 각각 추진한다. 과기정통부는 국민의 생활과 밀접한 분야와 네트워크 및 보안 등의 분야를 중심으로 AI를 융합한다. 산업부는 제조설비점검 로봇·가전 등 제조 현장 및 일상에서 자주 사용하는 제품에 AI를 적용하고, 중기부는 중소 제조 현장에서 공정혁신을 위한 AI 응용 솔루션을 보급·확산할 계획이다. 주요 산업·제조 AX 사업도 함께 공고한다. 과기정통부는 AI와 가상융합기술을 접목해 AI 서비스 개발 및 실증을 지원하는 ‘AI 가상융합 산업혁신 프로젝트’와 AI 기술·클라우드·데이터 등을 바우처 형태로 지원하는 ‘AI 바우처’ 사업을 진행한다. 산업부는 산업 AI 솔루션을 제조 현장에 바로 적용하여 즉시 성과를 체감할 수 있는 ‘산업 AI 솔루션 실증·확산 지원’ 사업을 지난해에 이어 올해도 실시한다. 중기부는 중소·중견기업을 대상으로 사업장에 특화된 AI를 지원하는 스마트공장 사업을 공고한다. 통합 공고는 오는 19일 이뤄진다. 이후 25일에는 공동 사업설명회를 열고 내용 설명과 질의응답, 기업 네트워킹을 진행할 예정이다. 지역에 위치한 기업들도 참여할 수 있도록 공동 설명회를 유튜브로도 생중계한다.이밖에 3개 부처는 오는 4월, 적정성 검토가 종료되는 지역 AX 사업도 합동 공고할 예정이다."
SW 개발 3년→40일…에이전틱 AI가 바꾸는 산업 지도,https://n.news.naver.com/mnews/article/001/0015957511?sid=105,"'사스포칼립스' 논쟁 확산…AI가 직접 코드 작성과기정통부, 전문가 간담회 열어 인재정책 재검토



발언하는 류제명 과학기술정보통신부 제2차관류제명 과학기술정보통신부 제2차관이 13일 오전 서울 종로구 광화문교보빌딩 국가과학기술자문회의 대회의실에서 열린 '에이전틱 인공지능(AI)시대 소프트웨어(SW)산업 및 인재양성 대응방안 간담회' 에 발언하고 있다. 2026.03.13 [과학기술정보통신부 제공. 재판매 및 DB 금지]    (서울=연합뉴스) 권하영 기자 = 에이전틱 인공지능(AI)의 등장으로 소프트웨어(SW) 산업 구조가 빠르게 흔들리고 있다.    AI가 스스로 계획을 세우고 코드를 작성하는 기술이 현실화하면서 서비스형 소프트웨어(SaaS)의 종말을 뜻하는 '사스포칼립스(SaaSpocalypse)'라는 표현까지 등장했다.    전문가들은 AI 활용 시 기존 3년 이상 걸리던 SW 개발 프로젝트가 40일 수준으로 단축될 수 있다고 분석한다.    정부도 이러한 변화에 대응하기 위해 인재 정책 재정비에 착수했다.    과학기술정보통신부는 13일 서울 종로구 국가과학기술자문회의 대회의실에서 '에이전틱 AI 시대, SW 산업 및 인재 양성 대응 방안'을 주제로 전문가 간담회를 개최했다.    과기정통부는 지난 한 달간 총 6차례 'SW 산업·인재 양성 혁신 콜로키움'을 열어 AI·SW 분야 산·학·연 전문가 약 70명과 대응 방안을 논의했다. 이날 간담회는 그간의 논의를 토대로 정부의 AI·SW 정책 전환 방향을 구체화하기 위해 마련됐다.    이는 사람의 세부 지시 없이 설정된 목표 달성을 위해 스스로 계획을 수립하고 데이터를 분석해 업무를 완수하는 에이전틱 AI 기술이 빠르게 발전하고 있는 데 따른 것이다.    지난 1월 앤트로픽의 '클로드 코워크' 출시 이후 AI가 기업용 SW를 대체할 수 있다는 전망이 나오며 미국 SW 기업 시가총액은 약 1조달러나 급락했다.    조준희 한국AI·SW산업협회(KOSA) 회장은 ""과거 공급 기업이 만든 패키지 SW를 구매하던 고객사들이 이제는 AI를 활용해 필요한 기능만 직접 개발하려 한다""며 ""산업의 중심이 공급자에서 수요자로 이동하는 변화에 맞춰 인재 양성 계획도 특화된 방향으로 전면 개편돼야 한다""고 강조했다.    산업 현장에서도 변화는 이미 감지되고 있다. SW 제품 책임자(PM) 1명과 협업하는 개발자 수가 크게 줄어드는 등 개발 조직 구조가 달라지고 있다는 분석이 나온다.



에이전틱AI 시대 SW 산업 및 인재양성 대응방안 간담회.13일 오전 서울 종로구 광화문교보빌딩 국가과학기술자문회의 대회의실에서 열린 '에이전틱 인공지능(AI)시대 소프트웨어(SW)산업 및 인재양성 대응방안 간담회' 현장. 2026.03.13 [과학기술정보통신부 제공. 재판매 및 DB 금지]    이날 간담회에서 산학연 전문가들은 에이전틱 AI 시대의 변화에 맞춘 인재 양성이 필요하다고 입을 모았다.     AI 활용 능력과 폭넓은 도메인 경험을 바탕으로 문제 정의, 시스템 설계, 결과물 수정과 검증 역량이 중요해지고 있다는 설명이다.    발제를 맡은 송호철 더존비즈온 부문장은 ""AI가 코딩을 담당하게 되면서 개발자의 업무 시간 중 상당 부분이 AI의 동작 방식을 설계하고 정의하는 데 쓰이고 있다""며 ""개발자의 역할에 근본적인 변화가 나타나고 있다""고 말했다.    이에 따라 AI·SW 교육 역시 단순 코딩 실무 중심에서 설계와 검증 역량 중심으로 대학 커리큘럼을 전면 혁신해야 한다는 의견이 제시됐다.    신정규 래블업 대표는 ""SW 개발의 패러다임이 코드 작성에서 '어떻게 만들 것인가'를 정의하고 검증하는 방향으로 바뀌고 있다""며 ""대학에서도 파이썬 등 단순 코딩 수업보다 시스템 프로그래밍이나 아키텍처 등 프로그램의 본질을 이해하는 기초 교육이 이전보다 훨씬 더 중요해졌다""고 지적했다.    깊은 SW 기본기를 갖춘 '고급 인재'와 도메인 지식에 AI 활용 능력을 겸비한 '융합 인재' 양성도 주요 과제로 꼽혔다.    왕지영 카카오엔터프라이즈 PM은 ""학과 신설에 치중하기보다 학과 간 통합 수업이나 프로젝트를 활성화해 학생들이 실제 현장의 문제를 직접 정의하고 해결하는 경험을 쌓게 해야 한다""고 제언했다.    교육 현장을 위한 그래픽처리장치(GPU) 클러스터 구축 필요성도 제기됐다.    성민혁 KAIST 교수는 ""국내에는 AI 교육을 위한 학교 단위 GPU 클러스터가 사실상 없다""며 ""연구용과 교육용 인프라를 분리하되 기업의 구형 GPU를 교육용으로 재활용하는 등 창의적인 인프라 확보 방안이 필요하다""고 말했다.    다만 비용 부담 등을 고려하면 개별 대학 단위가 아니라 여러 대학이 공동 활용하는 통합 GPU 클러스터 구축이 필요하다는 의견도 나왔다.    정부는 에이전틱 AI 시대에 맞는 종합적인 인재 양성 정책을 마련하겠다는 계획이다.류제명 과기정통부 제2차관은 ""에이전틱 AI 시대에 실제 현장에 필요한 인재상을 전문가들과 새롭게 도출하고 기존의 AI 인력양성 및 지원체계를 전면 재검토 중""이라며 ""AI 인재 양성 정책이 현장 수요와 AI 네이티브 환경에 대응할 수 있도록 하겠다""고 강조했다.    kwonhy@yna.co.kr"
"한솔PNS, 'AW 2026' 참가…제조산업 특화 AI 플랫폼 소개",https://n.news.naver.com/mnews/article/001/0015956547?sid=105,"한솔PNS '임팩토 AI 아틀라스'[한솔 제공. 재판매 및 DB 금지](서울=연합뉴스) 강태우 기자 = 한솔PNS는 지난 4일부터 사흘간 서울 강남구 코엑스에서 열린 '스마트공장·자동화산업전 2026(AW 2026)'에 참가했다고 13일 밝혔다.    한솔PNS는 이번 전시에서 '인공지능(AI) 내재형 제조'를 콘셉트로 제조 데이터를 분석하고, 공정 최적화 인사이트를 제공하는 제조산업 특화 AI 플랫폼 '임팩토 AI 아틀라스'를 선보였다.    임팩토 AI 아틀라스는 한솔PNS가 운영 중인 데이터수집솔루션(EIS/DPS), 제조실행솔루션(MES), 품질관리솔루션(QMS), 설비관리솔루션(PAM), 환경안전보건솔루션(ESH) 등 각 제조 공정별 IT 설루션과 연계해 맞춤형 AI 인사이트를 제공한다.    한솔PNS는 ""임팩토 AI 아틀라스가 제조 산업현장의 AX(AI 전환) 촉진에 핵심적인 역할을 할 것으로 기대한다""며 ""제조산업에 특화된 AI 기술을 바탕으로 고객의 생산 경쟁력 향상을 위해 노력하겠다""고 말했다.    burning@yna.co.kr"
"정재헌 SKT CEO ""통신사 넘어 AI 인프라 설계자로""",https://n.news.naver.com/mnews/article/001/0015956991?sid=105,"MWC26서 풀스택 AI 전략 공개…데이터센터·모델·서비스 통합



정재헌 SKT CEO, MWC26서 'AI 네이티브 혁신전략 발표'(서울=연합뉴스) 정재헌 SK텔레콤 대표이사 사장이 1일(현지시간) MWC26이 열리는 스페인 바르셀로나에서 기자간담회를 개최, AI 인프라의 재편과 대규모 투자 계획을 포함한 'AI 네이티브' 혁신 전략을 발표하고 있다. 2026.3.2 [SK텔레콤 제공. 재판매 및 DB 금지] photo@yna.co.kr    (서울=연합뉴스) 박형빈 기자 = 정재헌 SK텔레콤 최고경영자(CEO)는 스페인 바르셀로나에서 열린 세계 최대 이동통신 전시회 'MWC26'를 계기로 인공지능(AI)이 소프트웨어를 넘어 인프라 주도권 경쟁 단계로 확장되고 있다고 진단했다.    정 CEO는 13일 사내 뉴스룸에 게재한 글에서 최근 중앙 첨탑 공사를 마친 바르셀로나 사그라다 파밀리아 성당을 언급하며 ""이번 MWC 현장은 전 세계 정보통신기술(ICT) 리더들이 모여 'AI 성당'이라는 거대한 시대적 건축물을 어떻게 완성할지 치열하게 논의하는 자리였다""고 밝혔다.    그는 ""이제 통신사는 단순한 데이터 전달자를 넘어 인프라를 직접 설계하고 운영하는 'AI 인프라 설계자'가 돼야 한다""며 SK텔레콤이 AI 데이터센터(DC)와 AI 모델, 서비스까지 아우르는 '풀스택 AI 제공자' 전략을 추진하고 있다고 설명했다.    SK텔레콤은 이번 MWC에서 글로벌 서버 제조사 슈퍼마이크로, 에너지 관리 기업 슈나이더일렉트릭과 AI 데이터센터 협력을 위한 업무협약(MOU)을 체결했다. 싱텔, 이앤(e&), NTT 등 글로벌 통신사와는 데이터 주권을 고려한 '소버린 AI 패키지'를 공동으로 선보였다.    성과도 이어졌다. SK텔레콤의 GPU 클러스터 '해인'은 MWC의 글로벌 모바일 어워드(GLOMO)에서 '최고의 클라우드 솔루션' 부문을 수상했다. 약 5천억 파라미터 규모의 자체 AI 파운데이션 모델 'A.X K1'도 글로벌 관람객들의 관심을 받았다고 정 CEO는 전했다.    정 CEO는 특히 스타트업과의 협력 필요성을 강조했다.     그는 ""대기업의 인프라와 자원을 개방하고 스타트업의 유연한 창의성을 결합하는 시도는 국가 AI 주권을 지키고 글로벌 경쟁력을 키우기 위한 필수적인 선택""이라고 밝혔다.    AI 시대에 대응하기 위한 조직 변화 의지도 강조했다. 그는 ""SK텔레콤은 AI로의 대전환(AX)을 단순한 기술 도입이 아닌 기업 근간의 체질 변화로 정의할 것""이라며 ""SK텔레콤이 이어온 이동통신 역사의 단단한 토대 위에 AI라는 새로운 역사를 만들어가겠다""고 덧붙였다.    binzz@yna.co.kr"
"류긍선 카카오모빌리티 대표 ""피지컬 AI 기반 기업으로 도약""",https://n.news.naver.com/mnews/article/421/0008824068?sid=101,"12일 전사 임직원 레터 발송…미래 모빌리티 기업 비전 제시""피지컬 AI 전략은 회사 지향점이자 사업 시너지 로드맵""



류긍선 카카오모빌리티 대표 (카카오모빌리티 제공)(서울=뉴스1) 신은빈 기자 = 류긍선 카카오모빌리티(424700) 대표가 피지컬 인공지능(AI) 기반 미래 모빌리티 기업으로의 도약을 본격 선언했다.13일 카카오모빌리티에 따르면 류 대표는 전날 전사 임직원에게 보낸 레터를 통해 이 같은 비전을 제시했다.류 대표는 ""일상의 모든 이동을 책임지는 '피지컬 AI 시대를 선도하는 기술회사'로 거듭나겠다""며 ""기술 주권을 확보하고 글로벌 플레이어들과 대등하게 경쟁해 미래 모빌리티 시장을 주도해 나갈 것""이라고 포부를 밝혔다.류 대표는 카카오모빌리티의 피지컬 AI 전략은 회사의 지향점이자 기존 사업과 강력한 시너지를 낼 로드맵이라고 강조했다. 카카오모빌리티가 모빌리티 산업 전반의 디지털 전환(DX) 과정에서 축적한 데이터와 기술 인프라가 피지컬 AI 완성을 위한 핵심 경쟁력이 될 것이라는 설명이다.특히 카카오모빌리티만의 압도적인 자산으로는 △방대한 이동 정보를 AI 학습 가능한 수준으로 정제한 '데이터 자산과 품질 체계' △매일 바뀌는 현실 도로의 변화를 반영한 '지도와 도로 네트워크 데이터' △호출부터 정산까지 복잡한 운영 변수를 규격화한 '오퍼레이션 표준화 역량' △향후 서비스의 경제성과 확장성을 결정하는 '거점과 운영 인프라' 등을 꼽았다.새 비전에 맞춰 기존 서비스와 미래 기술을 함께 고도화하겠다는 방침도 밝혔다. 또 핵심 기술을 내재화하기 위해 협력 가능성을 열어두되, 기술 자생력을 확보한다는 전략적 방향도 분명히 했다.류 대표는 ""피지컬 AI 기술은 기존 서비스와 결합해 운영 효율을 높이고 서비스 품질을 혁신하는 선순환 구조를 만들 것""이라며 ""기술과 서비스가 유기적으로 맞물린 강력한 모빌리티 생태계를 구축하겠다""고 설명했다.이어 ""지난 5년여간 쌓아 온 자율주행 관련 역량은 이제 독보적인 자산이 됐다""며 ""피지컬 AI 핵심 기술을 내재화해 소프트웨어(SW)부터 하드웨어(HW) 제어까지 아우르는 독보적인 기술 경쟁력을 구축할 계획""이라고 덧붙였다.카카오모빌리티는 이를 위해 피지컬 AI 기술이 실제 서비스 환경에서 검증되고 확산될 수 있도록 '실증-운영-확산'으로 이어지는 실행형 기술 추진 체계를 강화한다. 류 대표는 이번 변화가 특정 조직만의 프로젝트가 아니라 모든 임직원이 함께 만들어 갈 여정이라고 강조했다.류 대표는 ""그간 모두가 함께 치열하게 일군 서비스들의 경쟁력 강화와 피지컬 AI로의 확장이 동시에 이뤄질 때 진정한 다음 챕터가 열릴 것""이라며 ""한국을 대표하는 피지컬 AI 기반 기술 회사로 자리매김할 수 있도록 모든 임직원이 동참해 달라""고 당부했다.<용어설명>■ 피지컬 AI피지컬 AI(Physical AI)는 인공지능(AI)이 현실 세계의 물리적 환경을 인식·이해하고 복잡한 행동을 직접 실행할 수 있도록 만드는 기술이다. 로봇·자율주행차 등의 형태로 직접적인 행동과 상호작용을 수행하는 기술을 의미하는 점에서 기존 AI와 구분된다."
"[특징주] 크래프톤, 한화에어로와 피지컬AI 합작사 추진에 강세",https://n.news.naver.com/mnews/article/001/0015956843?sid=101,"크래프톤 로고지난 달 독일에서 열린 게임쇼 '게임스컴' 부스의 크래프톤 로고. 2024.9.23 [연합뉴스 자료사진](서울=연합뉴스) 고은지 기자 = 크래프톤이 한화에어로스페이스와 피지컬 인공지능(AI) 분야에서 협력한다는 소식에 강세를 나타내고 있다.    이날 오전 10시 28분 현재 크래프톤은 전장보다 8.63% 오른 24만5천500원에 거래되고 있다.    크래프톤과 한화에어로스페이스는 이날 AI 기술 공동 개발과 합작법인(JV) 설립 등을 위한 업무협약(MOU)을 체결했다.    협약에 따라 양사는 ▲ 피지컬 AI 핵심 기술 공동 연구개발 ▲ 실증 및 적용 시나리오 검토 ▲ 기술·운영 체계 구축 등의 과제를 단계적으로 추진한다.     아울러 JV를 설립해 공동 개발의 성과를 현장 적용과 사업화로 신속히 연결하고, 중장기 협력 체계를 강화해 나갈 방침이다.    eun@yna.co.kr"
"[특징주] 크래프톤, 한화에어로와 피지컬AI 합작사 추진에 8% 상승(종합...",https://n.news.naver.com/mnews/article/001/0015957780?sid=101,"크래프톤 로고지난 달 독일에서 열린 게임쇼 '게임스컴' 부스의 크래프톤 로고. 2024.9.23 [연합뉴스 자료사진](서울=연합뉴스) 고은지 기자 = 크래프톤이 한화에어로스페이스와 피지컬 인공지능(AI) 분야에서 협력한다는 소식에 13일 8% 넘게 올랐다.    이날 크래프톤은 전장보다 8.19% 상승한 24만4천500원에 거래를 마감했다.     크래프톤과 한화에어로스페이스는 이날 AI 기술 공동 개발과 합작법인(JV) 설립 등을 위한 업무협약(MOU)을 체결했다.    협약에 따라 양사는 ▲ 피지컬 AI 핵심 기술 공동 연구개발 ▲ 실증 및 적용 시나리오 검토 ▲ 기술·운영 체계 구축 등의 과제를 단계적으로 추진한다.     아울러 JV를 설립해 공동 개발의 성과를 현장 적용과 사업화로 신속히 연결하고, 중장기 협력 체계를 강화해 나갈 방침이다.    김창한 크래프톤 대표는 ""크래프톤의 AI 기술력과 소프트웨어 운영 역량을 한화의 현장 기반 역량에 결합해 실제 환경에서 작동하는 기술 개발을 가속하겠다""며 ""향후 한화와 JV를 설립해 공동 개발 성과를 사업화까지 연결하고 JV를 '안두릴과 같은 글로벌 방산 기술 기업'으로 성장시켜 나가겠다""고 말했다.    eun@yna.co.kr"
"전북에 피지컬AI·방산·수소기지…DH그룹, 1500억원 투자",https://n.news.naver.com/mnews/article/003/0013819928?sid=102,"[전주=뉴시스] 전북특별자치도청. (사진=뉴시스 DB). photo@newsis.com[전주=뉴시스]최정규 기자 = 전북특별자치도는 13일 도청에서 DH그룹과 부안 제3농공단지(투자 면적 10만 1836㎡) 일원에 피지컬AI(인공지능)·방산·수소 산업 제조기지를 조성하는 내용의 투자협약(MOU)을 체결했다. 협약식에는 김관영 전북지사와 이정권 DH그룹 회장, 권익현 부안군수 등이 참석했다.DH그룹은 올해부터 2032년까지 3단계에 걸쳐 총 1500억원을 투자해 부안 제3농공단지를 피지컬AI·방산·수소 산업이 집약된 복합 제조기지로 고도화한다.900억원 규모의 피지컬AI 분야 스마트팩토리가 들어선다. 산업용 로봇, 자동화 부품, 드론 및 무인항공 기반의 방위산업 생산라인이 구축된다. 2027년 착공해 자율주행이동로봇(AMR) 기반 무인 물류시스템과 디지털트윈 공정 자동화를 적용한 시설을 2029년 본격 가동할 계획이다.이어 2028년에는 350억원을 투입해 수소모빌리티 부품 제조공장 착공에 들어간다. 액화수소연료탱크와 전기·수소차량 부품을 생산하는 시설이다. 같은 해 미래비전 연구단지 조성도 시작된다. 250억원이 들어서는 이 연구단지는 수소·로봇·AI 융합 신제품 연구개발 허브이자 전북 지역대학과 연계한 산학협력 인력 양성 거점으로 운영될 예정이다.투자가 완료되면 직접고용 310명, 간접고용 포함 600~900명의 일자리가 생길 것으로 예상된다. 현대차그룹 새만금 투자 기반의 부품 공급망, 수전해 수소생산기지와의 에너지 연계, 새만금 AI·수소 시티 클러스터 효과까지 더해져 전북 서부권 전반의 산업 경쟁력을 끌어올릴 것으로 기대된다.김 지사는 ""이번 대규모 투자 결정은 전북의 미래산업 경쟁력이 높아졌음을 보여주는 것""이라며 ""DH그룹이 차질 없이 투자를 이행할 수 있도록 인허가 신속 처리 등 가용한 행정 지원을 아끼지 않겠다""고 말했다.DH그룹은 지난해 그룹 매출 1조원을 넘긴 중견그룹이다. 생활가전 및 자동차 부품 제조 역량을 토대로 피지컬AI·수소·드론 및 무인항공 기반 방위산업으로 사업 영역을 확장하며 제조업 기반의 미래산업 전환을 추진하고 있다."
"[AI픽] 세미파이브, 180억 규모 차세대 AI칩 개발 수주",https://n.news.naver.com/mnews/article/001/0015957638?sid=105,"(서울=연합뉴스) 조성미 기자 = 인공지능(AI) 맞춤형 반도체(ASIC) 기업 세미파이브가 삼성전자 4나노 공정 기반으로 신경망처리장치(NPU)를 개발하는 180억원 규모의 일괄수주(턴키) 설계 계약을 맺었다고 13일 밝혔다.    세미파이브는 업계 내 NPU 설계 및 양산 사례를 가장 많이 보유하며 경쟁사와 격차를 벌리고 있다고 강조했다.    이 회사는 엑시나의 '컴퓨트 익스프레스 링크'(CXL) 기반 4나노 칩 개발 사업, 하이퍼엑셀의 거대언어모델 처리장치(LPU·LLM Processing Unit) 개발 등을 수주한 바 있다.    이번에 수주한 사업은 네트워크 연결 없이 기기 자체에서 AI 연산을 수행하는 온프레미스 환경에 최적화된 차세대 AI NPU 상용화가 목표다.    고해상도의 시각 AI와 거대언어모델 추론 등 대규모 데이터의 실시간 처리가 필요한 환경에 맞춰 설계되며 차세대 메모리 환경을 적용해 데이터 병목 현상을 구조적으로 개선할 계획이다.    이 회사는 국내 AI 반도체 설계 프로젝트를 기반으로 미국·중국·일본·인도·유럽 등으로 고객 기반을 확대하며 국제 사업 무대를 넓힐 계획이라고 덧붙였다.



AI 맞춤형 반도체(ASIC) 기업 세미파이브[세미파이브 제공. 재판매 및 DB 금지]    csm@yna.co.kr"
"파운데이션 모델 경쟁 접은 NC AI, 게임 시장 공략…'산업 AI'로 승부 건...",https://n.news.naver.com/mnews/article/092/0002414251?sid=105,"게임 개발 지원 체계 구축…바르코 플랫폼 중심 버티컬 AI 사업 확대독자 인공지능(AI) 파운데이션 모델 경쟁에서 한 발 물러난 NC AI가 산업 특화 AI 전략에 속도를 내고 있다. 게임 개발을 시작으로 패션 등 콘텐츠 산업 전반으로 AI 적용 범위를 확대하며 버티컬 AI 플랫폼 사업에 무게를 두는 모습이다.NC AI는 자사 게임 개발 AI 서비스 '바르코 게임 AI(VARCO Game AI)'를 기반으로 게임 제작부터 시장 검증, 퍼블리싱 협력까지 이어지는 지원 체계를 구축한다고 13일 밝혔다. AI 기술을 활용해 개발 비용과 제작 시간을 줄이고 유망 프로젝트를 발굴해 글로벌 서비스로 연결하는 선순환 구조를 만들겠다는 전략이다.



NC AI가 '바르코 게임 AI'를 기반으로 모바일 게임 제작 선순환 생태계 구축에 나선다. (이미지=NC AI)이번 전략의 핵심은 중소 및 인디 개발사를 대상으로 한 단계별 지원 프로그램이다. 바르코 게임 AI를 활용해 개발된 게임이 앱스토어 등 주요 플랫폼에 정식 출시될 경우 장려금 형태로 마케팅 비용을 지원한다. 초기 이용자 확보와 인지도 확산에 필요한 비용 부담을 완화해 개발사의 시장 안착을 돕기 위한 조치다.출시 이후 일정 수준 이상의 성과를 거둔 게임에는 NC 모바일 캐주얼 센터를 활용한 심층 마켓 테스트 기회가 제공된다. NC가 축적해 온 게임 운영 데이터와 분석 노하우를 기반으로 실제 서비스 환경에 가까운 테스트와 분석을 지원해 게임 완성도를 높인다는 계획이다.마켓 테스트를 통해 시장 경쟁력을 입증한 프로젝트에는 퍼블리싱 협력 가능성도 열어뒀다. 내부 심사를 거쳐 NC의 글로벌 퍼블리싱 역량과 마케팅 인프라를 활용할 수 있는 전략적 파트너십 기회를 제공한다는 방침이다.NC AI는 모바일 게임 산업이 직면한 구조적 문제를 해결하기 위한 방안으로 AI 기반 제작 효율 혁신을 제시하고 있다. 모바일 게임 시장은 개발 기간 장기화와 리소스 제작 비용 증가로 중소 개발사의 부담이 커지고 있는 상황이다.바르코 게임 AI는 3D 애셋 생성, 사운드 및 보이스 생성, 번역 등 게임 개발 전 과정에 필요한 AI 기능을 통합 제공하는 제작 솔루션이다. 이를 통해 리소스 제작 시간을 줄이고 개발자가 게임 기획과 플레이 경험 설계 등 핵심 영역에 집중할 수 있도록 지원한다.업계에선 이번 전략을 NC AI가 추진하고 있는 산업 특화 AI 사업 확대 흐름과 연결해 보고 있다. NC AI는 게임뿐 아니라 패션 산업용 생성형 AI 서비스 등 콘텐츠 제작 분야를 중심으로 '바르코' 기반 AI 솔루션을 확장하고 있다. 이는 범용 AI 모델 경쟁이 글로벌 빅테크 중심으로 재편되는 상황에서 특정 산업에 특화된 AI 플랫폼을 구축해 차별화된 시장을 공략하려는 전략으로 분석된다.NC AI는 장기적으로 바르코 플랫폼을 중심으로 게임과 패션 등 다양한 콘텐츠 산업에서 제작 효율을 높이고 새로운 창작 생태계를 구축한다는 목표다.이연수 NC AI 대표는 ""창의적인 아이디어를 가진 개발자들이 시장에 도전할 수 있는 기회를 넓히는 것이 중요해지고 있다""며 ""개발자가 제작 과정의 부담을 줄이고 실험과 도전에 집중할 수 있는 환경을 만들어 지속 가능한 개발 생태계를 구축하겠다""고 말했다."
